HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,74,48148,1346,26
1,1,71,48148,1349,29
1,1,73,48148,1351,25
1,1,35,48148,1345,13
1,0,4,48148,1349,16
1,1,72,48148,1356,13
1,1,37,48148,1354,9
1,1,38,48148,1355,10
1,1,16,48149,2560,14
1,0,112,48152,1091,28
1,0,53,48152,2139,1
1,1,5,48152,2219,20
1,1,75,48152,2219,23
1,1,76,48152,2223,19
1,1,7,48152,2227,10
1,1,74,48152,2228,19
1,1,73,48152,2229,8
1,0,106,48153,790,3
1,1,119,48154,2914,0
1,1,14,48155,826,10
1,1,34,48156,3516,1
1,1,86,48160,1191,10
1,0,83,48161,64,24
1,1,41,48163,2031,13
1,1,50,48169,2884,6
1,1,44,48173,1720,26
1,1,92,48176,337,25
1,1,128,48178,2972,13
1,0,84,48186,908,4
1,1,48,48188,70,26
1,1,88,48189,556,28
1,1,88,48194,3468,20
1,1,64,48197,693,12
1,0,16,48204,3346,28
1,1,6,48207,2052,1
1,0,73,48215,2472,19
1,1,65,48216,3035,15
1,1,16,48220,2769,27
1,1,12,48228,329,12
1,1,7,48228,1202,16
1,0,112,48230,75,3
1,0,4,48233,3262,17
1,1,22,48234,1310,13
1,1,22,48234,1314,9
1,1,104,48235,449,24
1,1,10,48237,2106,9
1,0,16,48254,128,28
1,1,12,48256,3493,23
1,1,32,48260,1880,2
1,1,4,48263,619,17
1,1,68,48263,2848,2
1,1,32,48269,3083,27
1,1,89,48269,3088,15
1,1,90,48269,3090,11
1,1,33,48269,3090,27
1,1,92,48269,3089,27
1,1,91,48269,3092,12
1,1,139,48269,3099,0
1,1,34,48269,3090,7
1,1,90,48269,3098,15
1,1,35,48269,3097,16
1,1,31,48269,3098,2
1,1,36,48273,2704,29
1,1,26,48274,2964,4
1,1,41,48275,1547,25
1,1,52,48287,2816,0
1,0,111,48289,345,19
1,1,104,48297,757,13
1,1,100,48297,757,1
1,1,105,48297,761,7
1,1,106,48297,762,19
1,1,103,48297,765,25
1,1,81,48298,1223,14
1,1,105,48299,2899,0
1,0,88,48300,2977,7
1,1,128,48304,912,21
1,1,41,48305,2297,7
1,1,105,48306,1365,21
1,1,16,48307,1412,15
1,1,28,48313,2213,14
1,0,56,48322,19,6
1,1,7,48343,3344,9
1,1,68,48346,48,9
1,1,59,48353,1871,2
1,0,104,48355,627,17
1,1,15,48355,3515,2
1,1,68,48369,57,9
1,0,104,48370,2874,24
1,0,104,48372,99,27
1,1,110,48373,2087,20
1,1,36,48379,826,2
1,1,44,48379,3241,15
1,1,117,48381,2940,8
1,0,104,48383,2140,2
1,0,104,48391,360,27
