HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,52,1289769407,2206,8
1,1,139,1289769407,2217,0
1,1,53,1289769407,2215,21
1,1,54,1289769407,2214,17
1,1,29,1289769418,944,27
1,1,32,1289769418,946,7
1,1,31,1289769418,949,11
1,1,30,1289769418,956,26
1,1,139,1289769418,958,0
1,1,17,1289769461,196,17
1,1,18,1289769461,196,17
1,1,139,1289769461,202,0
1,1,19,1289769461,200,21
1,1,20,1289769461,200,27
1,1,13,1289769480,3184,3
1,1,14,1289769480,3185,2
1,1,16,1289769480,3198,7
1,1,75,1289769493,176,12
1,1,19,1289769499,2342,12
1,1,18,1289769499,2349,22
1,1,139,1289769499,2357,0
1,1,20,1289769499,2342,25
1,1,17,1289769499,2355,8
1,1,10,1289769501,1135,13
1,1,7,1289769501,1145,2
1,1,139,1289769501,1148,0
1,1,9,1289769501,1146,5
1,1,12,1289769501,1146,11
1,1,7,1289769528,552,29
1,1,8,1289769528,553,21
1,1,4,1289769531,2035,24
1,1,3,1289769531,2037,27
1,1,139,1289769531,2051,0
1,1,1,1289769531,2047,25
1,1,2,1289769531,2049,15
1,1,1,1289769531,2057,22
1,1,62,1289769533,1108,18
1,1,25,1289769555,2666,15
1,1,9,1289769556,2695,5
1,1,10,1289769556,2696,2
1,1,139,1289769556,2703,0
1,1,8,1289769556,2700,13
1,1,7,1289769556,2701,6
1,1,26,1289769582,323,3
1,1,15,1289769626,2477,14
1,1,36,1289769639,3227,27
1,1,39,1289769639,3227,1
1,1,40,1289769639,3227,7
1,1,38,1289769639,3240,10
1,1,36,1289769639,3240,19
1,1,40,1289769639,3242,1
1,1,15,1289769677,1242,27
1,1,76,1289769678,3197,15
1,1,24,1289769695,3454,29
1,1,78,1289769703,113,26
1,1,75,1289769703,112,2
1,1,139,1289769703,125,0
1,1,73,1289769703,121,26
1,1,80,1289769703,123,21
1,1,76,1289769703,124,9
1,1,45,1289769719,2213,22
1,1,46,1289769719,2217,18
1,1,44,1289769719,2219,22
1,1,139,1289769719,2227,0
1,1,43,1289769719,2225,1
1,1,80,1289769730,1343,19
1,1,79,1289769730,1347,27
1,1,77,1289769730,1351,22
1,1,139,1289769730,1358,0
1,1,78,1289769730,1356,0
1,1,54,1289769747,929,6
1,1,55,1289769747,930,27
1,1,139,1289769747,940,0
1,1,53,1289769747,934,21
1,1,56,1289769747,938,18
1,1,42,1289769748,2426,8
1,1,41,1289769748,2433,25
1,1,139,1289769748,2440,0
1,1,39,1289769748,2433,14
1,1,44,1289769748,2438,20
1,1,23,1289769773,3338,26
1,1,35,1289769781,3243,5
1,1,51,1289769789,3475,6
1,1,50,1289769789,3479,3
1,1,139,1289769789,3486,0
1,1,52,1289769789,3480,25
1,1,49,1289769789,3484,11
1,1,71,1289769792,1840,6
1,1,74,1289769792,1845,28
1,1,139,1289769792,1854,0
1,1,69,1289769792,1850,20
1,1,72,1289769792,1852,6
1,1,14,1289769856,1752,19
1,1,13,1289769856,1758,3
1,1,139,1289769856,1763,0
1,1,15,1289769856,1756,20
1,1,16,1289769856,1761,23
1,1,39,1289769886,66,12
1,1,39,1289769886,193,21
1,1,68,1289769890,3516,2
1,1,66,1289769890,3518,19
1,1,64,1289769890,3526,27
1,1,69,1289769890,3526,11
1,1,67,1289769891,864,28
1,1,68,1289769891,863,18
1,1,70,1289769891,873,9
1,1,139,1289769891,877,0
1,1,69,1289769891,875,9
1,1,3,1289769893,1295,2
1,1,45,1289769900,324,29
1,1,46,1289769900,323,27
1,1,48,1289769900,332,7
1,1,139,1289769900,338,0
1,1,43,1289769900,336,25
1,1,35,1289769904,2592,11
1,1,5,1289769905,1765,8
1,1,8,1289769905,1767,29
1,1,6,1289769905,1772,11
1,1,139,1289769905,1777,0
1,1,7,1289769905,1775,7
1,1,8,1289769905,1776,8
1,1,72,1289769917,1931,15
1,1,71,1289769917,1934,28
1,1,69,1289769917,1939,1
1,1,139,1289769917,1941,0
1,1,70,1289769917,1939,24
1,1,32,1289769932,611,22
1,1,139,1289769932,615,0
1,1,34,1289769932,612,12
1,1,37,1289769932,613,21
1,1,35,1289769932,613,6
1,1,34,1289769932,630,26
1,1,30,1289769935,617,17
1,1,6,1289769946,112,29
1,1,7,1289769946,110,28
1,1,8,1289769946,111,5
1,1,139,1289769946,121,0
1,1,9,1289769946,119,11
1,1,10,1289769946,121,17
1,1,4,1289769959,37,6
1,1,7,1289769959,41,2
1,1,139,1289769959,43,0
1,1,6,1289769959,39,22
1,1,9,1289769959,39,24
1,1,4,1289769959,49,28
1,1,59,1289769961,1048,8
1,1,60,1289769961,1047,16
1,1,57,1289769961,1054,5
1,1,139,1289769961,1062,0
1,1,58,1289769961,1060,15
1,1,17,1289769979,1027,9
1,1,22,1289769985,1455,25
1,1,23,1289769985,1451,3
1,1,139,1289769985,1461,0
1,1,24,1289769985,1454,29
1,1,21,1289769985,1459,4
1,1,22,1289769985,1464,14
1,1,29,1289770015,2858,12
1,1,42,1289770021,2871,17
1,1,42,1289770021,2885,4
1,1,38,1289770022,19,8
1,1,6,1289770036,2776,0
1,1,5,1289770036,2780,15
1,1,3,1289770036,2788,27
1,1,139,1289770036,2796,0
1,1,8,1289770036,2794,20
1,1,68,1289770042,2877,0
1,1,66,1289770042,2882,14
1,1,67,1289770042,2882,4
1,1,139,1289770042,2890,0
1,1,65,1289770042,2888,2
1,1,45,1289770053,170,14
1,1,46,1289770053,167,17
1,1,139,1289770053,179,0
1,1,43,1289770053,174,6
1,1,44,1289770053,177,12
1,1,50,1289770068,2999,6
1,1,3,1289770095,2390,28
1,1,61,1289770095,2522,8
1,1,46,1289770102,51,17
1,1,139,1289770102,54,0
1,1,47,1289770102,52,1
1,1,49,1289770102,52,29
1,1,44,1289770102,50,27
1,1,51,1289770102,55,25
1,1,139,1289770113,2778,0
1,1,11,1289770113,2773,28
1,1,12,1289770113,2774,22
1,1,9,1289770113,2776,29
1,1,10,1289770113,2776,27
1,1,10,1289770113,2799,5
1,1,73,1289770118,1953,7
1,1,74,1289770118,1952,1
1,1,71,1289770118,1963,0
1,1,139,1289770118,1966,0
1,1,72,1289770118,1964,11
1,1,57,1289770119,2602,16
1,1,59,1289770119,2606,7
1,1,61,1289770137,1174,10
1,1,43,1289770148,177,2
1,1,41,1289770148,184,28
1,1,44,1289770148,176,13
1,1,139,1289770148,187,0
1,1,42,1289770148,185,18
1,1,13,1289770156,1240,13
1,1,13,1289770156,1255,21
1,1,3,1289770159,19,29
1,1,47,1289770187,326,29
1,1,48,1289770197,3173,8
1,1,48,1289770197,3186,19
1,1,25,1289770210,1239,27
1,1,41,1289770214,891,24
1,1,44,1289770214,895,21
1,1,42,1289770214,888,27
1,1,139,1289770214,903,0
1,1,39,1289770214,901,12
1,1,18,1289770218,2620,12
1,1,65,1289770250,2604,13
1,1,66,1289770250,2605,21
1,1,139,1289770250,2619,0
1,1,63,1289770250,2617,10
1,1,64,1289770250,2615,25
1,1,63,1289770250,2623,1
1,1,53,1289770260,2903,26
1,1,38,1289770291,1550,11
1,1,40,1289770321,2203,24
1,1,41,1289770321,2205,9
1,1,139,1289770321,2217,0
1,1,37,1289770321,2205,12
1,1,42,1289770321,2212,28
1,1,39,1289770321,2215,12
1,1,40,1289770321,2212,19
1,1,74,1289770369,2454,19
1,1,26,1289770372,3176,14
1,1,33,1289770372,3180,16
1,1,139,1289770372,3189,0
1,1,24,1289770372,3187,13
1,1,27,1289770372,3177,22
1,1,20,1289770372,3189,16
1,1,3,1289770401,2974,1
1,1,39,1289770442,1364,21
1,1,40,1289770442,1371,14
1,1,139,1289770442,1379,0
1,1,42,1289770442,1372,16
1,1,37,1289770442,1377,2
1,1,51,1289770446,786,3
1,1,51,1289770456,1135,14
1,1,52,1289770456,1134,12
1,1,53,1289770456,1146,13
1,1,139,1289770456,1150,0
1,1,54,1289770456,1148,11
1,1,43,1289770457,974,1
1,1,44,1289770457,974,6
1,1,139,1289770457,987,0
1,1,41,1289770457,985,10
1,1,42,1289770457,985,0
1,1,63,1289770476,3093,3
1,1,63,1289770476,3107,9
1,1,34,1289770503,2039,11
1,1,139,1289770503,2052,0
1,1,35,1289770503,2046,27
1,1,32,1289770503,2049,24
1,1,33,1289770503,2050,0
